return,x1,y1,x2,y2
0x,0,0,400,400
1x,0,0,800,400
2x,0,0,1200,400
3x,594.7,148.6778,605.3667,151.3444
4x,0,0,1200,240
5x,665,110.8333,676.9333,112.8222
6x,683.4,97.6278,695.6667,99.3778
7x,696.2,87.0222,708.6833,88.5833
8x,0,0,1200,133.3333
9x,712.1667,71.2167,724.95,72.4944
10x,717.3167,65.2111,730.1833,66.3778
11x,721.3167,60.1111,734.25,61.1889
12x,724.4667,55.7278,737.45,56.7278
13x,726.9833,51.9278,740.0167,52.8611
14x,729.0333,48.6000,742.1167,49.4722
15x,730.7333,45.6722,743.8333,46.4889
16x,0,0,1200,70.5882
