Year,Story,Count,Gross,AvgGross,Budget,AvgBudget,Profit,cx,cy,r,hex
2007,Love,11,"1,314.76",119.52,398.00,36.18,330.34%,364.66,96.76,16.58,#DC267F
2007,Quest,11,"3,031.84",275.62,826.50,75.14,366.83%,381.30,212.57,16.58,#CB71D7
2007,Rivalry,2,215.50,107.75,131.00,65.50,164.50%,322.35,129.08,7.07,#12A3B4
2007,Monster Force,10,"1,733.76",173.38,685.00,68.50,253.10%,346.37,160.74,15.81,#00AA5E
2007,Comedy,8,"1,174.74",146.84,471.00,58.88,249.41%,347.36,137.24,14.14,#3C6DF0
2007,Pursuit,12,"1,466.52",122.21,599.00,49.92,244.83%,348.32,115.38,17.32,#648FFF
2007,Discover,5,636.70,127.34,247.00,49.40,257.77%,351.15,116.90,11.18,#73A22C
2007,Rescue,5,"2,005.61",401.12,756.00,151.20,265.29%,337.74,362.63,11.18,#FF509E
2007,Fish Out of Water,0,0.00,0.00,0.00,0.00,0.00%,360.00,0.00,0.00,#00B6CB
2007,Revenge,2,463.84,231.92,135.00,67.50,343.58%,372.48,184.31,7.07,#81B532
2007,Escape,2,174.97,87.49,20.00,10.00,874.86%,384.39,49.85,7.07,#F87EAC
2007,Journey and Return,3,518.31,172.77,317.50,105.83,163.25%,298.60,208.00,8.66,#34BC6E
2007,Underdog,1,202.55,202.55,75.00,75.00,270.06%,350.48,181.39,5.00,#89A2F6
2007,The Riddle,3,572.03,190.68,170.00,56.67,336.49%,368.77,153.02,8.66,#71CDDD
2007,Maturation,5,945.04,189.01,163.50,32.70,578.01%,398.57,121.81,11.18,#57D785
2007,Transformation,5,"1,054.55",210.91,300.00,60.00,351.52%,373.11,165.85,11.18,#95D13C
2007,Sacrifice,3,580.67,193.56,136.00,45.33,426.97%,384.42,139.82,8.66,#D68ADF
2007,Temptation,1,48.12,48.12,20.00,20.00,240.61%,354.96,45.87,5.00,#E4ADEA
2007,Metamorphosis,1,890.87,890.87,258.00,258.00,345.30%,409.59,706.35,5.00,#F7AAC3
2007,Tragedy,0,0.00,0.00,0.00,0.00,0.00%,360.00,0.00,0.00,#B0BEF3
2007,Rags to Riches,0,0.00,0.00,0.00,0.00,0.00%,360.00,0.00,0.00,#B4E876
2007,Wretched Excess,1,76.18,76.18,25.00,25.00,304.73%,360.50,64.14,5.00,#A0E3F0
2008,Love,19,"3,254.53",171.29,"1,011.50",53.24,321.75%,364.91,140.43,21.79,#DC267F
2008,Quest,13,"1,292.71",99.44,697.20,53.63,185.41%,333.93,110.45,18.03,#CB71D7
2008,Rivalry,6,262.30,43.72,210.10,35.02,124.85%,333.98,63.12,12.25,#12A3B4
2008,Monster Force,7,545.60,77.94,145.80,20.83,374.21%,366.56,59.58,13.23,#00AA5E
2008,Comedy,15,845.59,56.37,586.00,39.07,144.30%,334.19,73.64,19.36,#3C6DF0
2008,Pursuit,5,"1,257.70",251.54,412.00,82.40,305.27%,361.84,211.60,11.18,#648FFF
2008,Discover,9,"1,078.19",119.80,367.50,40.83,293.39%,358.85,102.80,15.00,#73A22C
2008,Rescue,10,"1,462.42",146.24,627.00,62.70,233.24%,342.24,141.85,15.81,#FF509E
2008,Fish Out of Water,8,"1,197.00",149.62,630.50,78.81,189.85%,323.17,163.79,14.14,#00B6CB
2008,Revenge,4,"1,656.29",414.07,480.00,120.00,345.06%,382.94,328.41,10.00,#81B532
2008,Escape,7,487.98,69.71,232.00,33.14,210.34%,347.39,71.76,13.23,#F87EAC
2008,Journey and Return,6,794.31,132.39,296.00,49.33,268.35%,353.38,118.96,12.25,#34BC6E
2008,Underdog,4,"1,022.00",255.50,235.10,58.78,434.71%,393.59,183.21,10.00,#89A2F6
2008,The Riddle,7,410.00,58.57,220.00,31.43,186.36%,344.85,64.85,13.23,#71CDDD
2008,Maturation,4,185.81,46.45,98.50,24.63,188.64%,348.37,51.05,10.00,#57D785
2008,Transformation,7,619.13,88.45,209.00,29.86,296.23%,359.52,75.53,13.23,#95D13C
2008,Sacrifice,7,771.59,110.23,337.00,48.14,228.96%,345.49,108.04,13.23,#D68ADF
2008,Temptation,5,408.44,81.69,310.50,62.10,131.54%,315.62,113.70,11.18,#E4ADEA
2008,Metamorphosis,2,844.40,422.20,323.50,161.75,261.02%,333.25,385.00,7.07,#F7AAC3
2008,Tragedy,3,121.38,40.46,77.50,25.83,156.61%,344.28,50.05,8.66,#B0BEF3
2008,Rags to Riches,1,8.88,8.88,12.00,12.00,74.00%,348.49,19.04,5.00,#B4E876
2008,Wretched Excess,0,0.00,0.00,0.00,0.00,0.00%,360.00,0.00,0.00,#A0E3F0
2009,Love,12,"1,957.20",163.10,373.00,31.08,524.72%,389.64,108.76,17.32,#DC267F
2009,Quest,14,"2,692.94",192.35,962.00,68.71,279.93%,354.15,169.07,18.71,#CB71D7
2009,Rivalry,4,285.78,71.45,155.00,38.75,184.37%,340.99,79.63,10.00,#12A3B4
2009,Monster Force,12,"1,476.57",123.05,604.62,50.38,244.22%,348.08,116.33,17.32,#00AA5E
2009,Comedy,27,"2,884.32",106.83,"1,062.00",39.33,271.59%,355.26,95.39,25.98,#3C6DF0
2009,Pursuit,7,788.56,112.65,354.40,50.63,222.51%,343.35,112.23,13.23,#648FFF
2009,Discover,5,110.80,22.16,177.00,35.40,62.60%,324.35,54.46,11.18,#73A22C
2009,Rescue,3,198.30,66.10,150.00,50.00,132.20%,324.40,91.68,8.66,#FF509E
2009,Fish Out of Water,0,0.00,0.00,0.00,0.00,0.00%,360.00,0.00,0.00,#00B6CB
2009,Revenge,8,"2,137.64",267.21,750.50,93.81,284.83%,353.96,232.77,14.14,#81B532
2009,Escape,8,"1,380.50",172.56,387.50,48.44,356.26%,371.56,134.86,14.14,#F87EAC
2009,Journey and Return,4,"1,003.10",250.78,435.00,108.75,230.60%,327.98,244.81,10.00,#34BC6E
2009,Underdog,4,700.20,175.05,272.50,68.13,256.95%,347.56,160.98,10.00,#89A2F6
2009,The Riddle,4,"1,029.00",257.25,350.00,87.50,294.00%,357.77,220.51,10.00,#71CDDD
2009,Maturation,8,576.94,72.12,157.50,19.69,366.31%,365.54,55.65,14.14,#57D785
2009,Transformation,4,449.20,112.30,291.00,72.75,154.36%,315.05,140.24,10.00,#95D13C
2009,Sacrifice,2,233.30,116.65,168.00,84.00,138.87%,302.58,156.41,7.07,#D68ADF
2009,Temptation,2,42.34,21.17,45.00,22.50,94.09%,340.34,37.62,7.07,#E4ADEA
2009,Metamorphosis,3,"3,164.95","1,054.98",372.00,124.00,850.79%,649.77,605.42,8.66,#F7AAC3
2009,Tragedy,3,384.81,128.27,144.00,48.00,267.23%,353.33,115.51,8.66,#B0BEF3
2009,Rags to Riches,1,295.10,295.10,29.00,29.00,"1,017.59%",448.29,162.11,5.00,#B4E876
2009,Wretched Excess,0,0.00,0.00,0.00,0.00,0.00%,360.00,0.00,0.00,#A0E3F0
2010,Love,17,"1,642.54",96.62,799.00,47.00,205.57%,341.17,100.81,20.62,#DC267F
2010,Quest,7,"2,439.55",348.51,737.00,105.29,331.01%,373.85,281.87,13.23,#CB71D7
2010,Rivalry,15,"2,533.21",168.88,"1,141.00",76.07,222.02%,334.83,168.47,19.36,#12A3B4
2010,Monster Force,14,"1,978.35",141.31,498.80,35.63,396.62%,374.61,105.30,18.71,#00AA5E
2010,Comedy,19,"1,831.27",96.38,734.00,38.63,249.49%,351.72,90.06,21.79,#3C6DF0
2010,Pursuit,7,"1,246.00",178.00,641.00,91.57,194.38%,318.97,192.07,13.23,#648FFF
2010,Discover,5,224.66,44.93,111.00,22.20,202.40%,350.81,47.32,11.18,#73A22C
2010,Rescue,5,"1,279.05",255.81,374.50,74.90,341.54%,373.20,203.86,11.18,#FF509E
2010,Fish Out of Water,1,291.41,291.41,170.00,170.00,171.42%,267.26,340.01,5.00,#00B6CB
2010,Revenge,6,481.96,80.33,306.00,51.00,157.50%,329.17,98.99,12.25,#81B532
2010,Escape,3,201.62,67.21,40.00,13.33,504.05%,371.54,45.48,8.66,#F87EAC
2010,Journey and Return,7,"3,132.96",447.57,753.00,107.57,416.06%,412.97,326.80,13.23,#34BC6E
2010,Underdog,6,"1,121.61",186.94,336.00,56.00,333.81%,368.03,150.59,12.25,#89A2F6
2010,The Riddle,5,414.56,82.91,188.00,37.60,220.51%,347.32,83.03,11.18,#71CDDD
2010,Maturation,4,865.40,216.35,102.00,25.50,848.43%,419.33,124.25,10.00,#57D785
2010,Transformation,4,493.76,123.44,173.00,43.25,285.41%,357.32,107.42,10.00,#95D13C
2010,Sacrifice,1,40.26,40.26,16.00,16.00,251.63%,356.72,37.45,5.00,#D68ADF
2010,Temptation,2,42.72,21.36,27.00,13.50,158.22%,351.88,26.24,7.07,#E4ADEA
2010,Metamorphosis,0,0.00,0.00,0.00,0.00,0.00%,360.00,0.00,0.00,#F7AAC3
2010,Tragedy,1,9.45,9.45,15.00,15.00,63.00%,344.92,23.10,5.00,#B0BEF3
2010,Rags to Riches,3,276.20,92.07,120.00,40.00,230.17%,348.15,89.97,8.66,#B4E876
2010,Wretched Excess,2,334.45,167.23,28.00,14.00,"1,194.46%",413.13,88.77,7.07,#A0E3F0
2011,Love,11,"1,271.56",115.60,309.20,28.11,411.24%,373.27,84.82,16.58,#DC267F
2011,Quest,13,"3,541.78",272.44,"1,061.00",81.62,333.82%,371.71,219.47,18.03,#CB71D7
2011,Rivalry,10,"2,861.22",286.12,645.50,64.55,443.26%,399.23,203.55,15.81,#12A3B4
2011,Monster Force,19,"2,488.22",130.96,972.50,51.18,255.86%,350.41,120.71,21.79,#00AA5E
2011,Comedy,14,"1,936.82",138.34,641.90,45.85,301.73%,360.34,117.05,18.71,#3C6DF0
2011,Pursuit,1,45.43,45.43,20.00,20.00,227.15%,353.82,44.73,5.00,#648FFF
2011,Discover,11,533.98,48.54,300.00,27.27,177.99%,345.88,55.31,16.58,#73A22C
2011,Rescue,2,67.92,33.96,195.00,97.50,34.83%,250.31,138.51,7.07,#FF509E
2011,Fish Out of Water,5,"1,618.12",323.62,548.00,109.60,295.28%,357.81,276.80,11.18,#00B6CB
2011,Revenge,6,"1,107.02",184.50,358.00,59.67,309.22%,362.34,154.22,12.25,#81B532
2011,Escape,4,669.06,167.27,189.00,47.25,354.00%,370.83,131.10,10.00,#F87EAC
2011,Journey and Return,2,197.71,98.86,285.00,142.50,69.37%,220.57,223.31,7.07,#34BC6E
2011,Underdog,4,430.40,107.60,203.00,50.75,212.02%,341.06,110.24,10.00,#89A2F6
2011,The Riddle,5,555.40,111.08,212.00,42.40,261.98%,353.16,101.09,11.18,#71CDDD
2011,Maturation,4,432.75,108.19,130.00,32.50,332.89%,364.53,87.27,10.00,#57D785
2011,Transformation,6,161.56,26.93,148.50,24.75,108.79%,339.92,42.93,12.25,#95D13C
2011,Sacrifice,4,184.05,46.01,98.70,24.68,186.47%,348.11,50.93,10.00,#D68ADF
2011,Temptation,3,234.02,78.01,71.20,23.73,328.68%,362.89,63.30,8.66,#E4ADEA
2011,Metamorphosis,4,687.92,171.98,409.00,102.25,168.20%,302.82,203.11,10.00,#F7AAC3
2011,Tragedy,1,14.19,14.19,30.00,30.00,47.30%,327.84,44.20,5.00,#B0BEF3
2011,Rags to Riches,0,0.00,0.00,0.00,0.00,0.00%,360.00,0.00,0.00,#B4E876
2011,Wretched Excess,3,197.29,65.76,69.00,23.00,285.92%,358.63,57.17,8.66,#A0E3F0
